#    ti [s]            T9 [GK]           de [g/cc]         R [km]       
  0.0000000000e+00  8.0000000000e+00  1.1219791059e+08  3.4791435474e+07
  4.1817750269e-04  7.8628847360e+00  1.0634568219e+08  3.5418267781e+07
  1.0645529772e-03  7.6604184338e+00  9.8074775543e+07  3.6387160242e+07
  1.7416004132e-03  7.4598157815e+00  9.0305942864e+07  3.7402028817e+07
  2.4507752640e-03  7.2612792950e+00  8.3023824176e+07  3.8465055176e+07
  3.1936020472e-03  7.0650032204e+00  7.6211939470e+07  3.9578524512e+07
  3.9716776222e-03  6.8711728086e+00  6.9852872160e+07  4.0744830457e+07
  4.7866746230e-03  6.6799636605e+00  6.3928450013e+07  4.1966480228e+07
  5.6403450538e-03  6.4915411491e+00  5.8419921333e+07  4.3246100012e+07
  6.5345240553e-03  6.3060599197e+00  5.3308124368e+07  4.4586440616e+07
  7.4711338499e-03  6.1236634717e+00  4.8573648212e+07  4.5990383378e+07
  8.4521878735e-03  5.9444838230e+00  4.4196983748e+07  4.7460946364e+07
  9.4797951041e-03  5.7686412567e+00  4.0158663437e+07  4.9001290852e+07
  1.0556164596e-02  5.5962441505e+00  3.6439389105e+07  5.0614728129e+07
  1.1683610226e-02  5.4273888862e+00  3.3020147084e+07  5.2304726614e+07
  1.2864555673e-02  5.2621598372e+00  2.9882310410e+07  5.4074919305e+07
  1.4101539622e-02  5.1006294315e+00  2.7007727948e+07  5.5929111597e+07
  1.5397221225e-02  4.9428582861e+00  2.4378800602e+07  5.7871289460e+07
  1.6754385817e-02  4.7888954082e+00  2.1978544923e+07  5.9905628005e+07
  1.8175950904e-02  4.6387784584e+00  1.9790644618e+07  6.2036500463e+07
  1.9664972433e-02  4.4925340716e+00  1.7799490589e+07  6.4268487584e+07
  2.1224651362e-02  4.3501782291e+00  1.5990210249e+07  6.6606387484e+07
  2.2858340545e-02  4.2117166765e+00  1.4348686956e+07  6.9055225962e+07
  2.4569551932e-02  4.0771453813e+00  1.2861570427e+07  7.1620267302e+07
  2.6361964126e-02  3.9464510254e+00  1.1516279074e+07  7.4307025588e+07
  2.8239430286e-02  3.8196115249e+00  1.0300995176e+07  7.7121276563e+07
  3.0205986413e-02  3.6965965731e+00  9.2046538178e+06  8.0069070039e+07
  3.2265860026e-02  3.5773681993e+00  8.2169264833e+06  8.3156742907e+07
  3.4423479247e-02  3.4618813396e+00  7.3282001706e+06  8.6390932756e+07
  3.6683482326e-02  3.3500844140e+00  6.5295528370e+06  8.9778592146e+07
  3.9050727603e-02  3.2419199037e+00  5.8127259292e+06  9.3327003548e+07
  4.1530303962e-02  3.1373249264e+00  5.1700946938e+06  9.7043795005e+07
  4.4127541764e-02  3.0362318025e+00  4.5946368973e+06  1.0093695653e+08
  4.6848024307e-02  2.9385686117e+00  4.0799005169e+06  1.0501485727e+08
  4.9697599830e-02  2.8442597327e+00  3.6199709016e+06  1.0928626352e+08
  5.2682394082e-02  2.7532263671e+00  3.2094378324e+06  1.1376035755e+08
  5.5808823496e-02  2.6653870408e+00  2.8433628547e+06  1.1844675734e+08
  5.9083608977e-02  2.5806580844e+00  2.5172471923e+06  1.2335553729e+08
  6.2513790351e-02  2.4989540872e+00  2.2270005011e+06  1.2849724981e+08
  6.6106741501e-02  2.4201883267e+00  1.9689106677e+06  1.3388294810e+08
  6.9870186216e-02  2.3442731695e+00  1.7396148172e+06  1.3952420981e+08
  7.3812214799e-02  2.2711204452e+00  1.5360716470e+06  1.4543316200e+08
  7.7941301452e-02  2.2006417909e+00  1.3555351751e+06  1.5162250718e+08
  8.2266322500e-02  2.1327489683e+00  1.1955299536e+06  1.5810555064e+08
  8.6796575467e-02  2.0673541507e+00  1.0538277758e+06  1.6489622900e+08
  9.1541799067e-02  2.0043701835e+00  9.2842587914e+05  1.7200914023e+08
  9.6512194137e-02  1.9437108158e+00  8.1752662967e+05  1.7945957501e+08
  1.0171844557e-01  1.8852909061e+00  7.1951865656e+05  1.8726354958e+08
  1.0717174527e-01  1.8290266018e+00  6.3295939321e+05  1.9543784019e+08
  1.1288381624e-01  1.7748354939e+00  5.5655897201e+05  2.0400001916e+08
  1.1886693774e-01  1.7226367477e+00  4.8916541230e+05  2.1296849267e+08
  1.2513397174e-01  1.6723512120e+00  4.2975103597e+05  2.2236254031e+08
  1.3169839052e-01  1.6239015057e+00  3.7740004206e+05  2.3220235651e+08
  1.3857430564e-01  1.5772120862e+00  3.3129716958e+05  2.4250909399e+08
  1.4577649831e-01  1.5322092977e+00  2.9071737764e+05  2.5330490921e+08
  1.5332045113e-01  1.4888214033e+00  2.5501647241e+05  2.6461301000e+08
  1.6122238138e-01  1.4469786006e+00  2.2362261174e+05  2.7645770546e+08
  1.6949927588e-01  1.4066130226e+00  1.9602862056e+05  2.8886445821e+08
  1.7816892754e-01  1.3676587253e+00  1.7178505273e+05  3.0185993911e+08
  1.8724997356e-01  1.3300516622e+00  1.5049393779e+05  3.1547208464e+08
  1.9676193551e-01  1.2937296481e+00  1.3180315466e+05  3.2973015691e+08
  2.0672526133e-01  1.2586323114e+00  1.1540137729e+05  3.4466480659e+08
  2.1716136923e-01  1.2247010380e+00  1.0101354114e+05  3.6030813880e+08
  2.2809269379e-01  1.1918789050e+00  8.8396782593e+04  3.7669378209e+08
  2.3954273415e-01  1.1601106070e+00  7.7336806893e+04  3.9385696080e+08
  2.5153610452e-01  1.1293423751e+00  6.7644643638e+04  4.1183457072e+08
  2.6409858713e-01  1.0995218882e+00  5.9153752018e+04  4.3066525842e+08
  2.7725718763e-01  1.0705981783e+00  5.1717441120e+04  4.5038950436e+08
